"filename", "language", "C++", "CMake", "comment", "blank", "total"
"/home/xie/code/QuestCAE/questCAE/sources/key_hash.cpp", "C++", 16, 0, 4, 9, 29
"/home/xie/code/QuestCAE/questCAE/sources/process_info.cpp", "C++", 0, 0, 0, 1, 1
"/home/xie/code/QuestCAE/questCAE/sources/queat_parameters.cpp", "C++", 833, 0, 6, 301, 1140
"/home/xie/code/QuestCAE/questCAE/sources/quest_components.cpp", "C++", 0, 0, 4, 2, 6
"/home/xie/code/QuestCAE/questCAE/sources/quest_filesystem.cpp", "C++", 35, 0, 5, 11, 51
"/home/xie/code/QuestCAE/questCAE/sources/registry.cpp", "C++", 86, 0, 5, 33, 124
"/home/xie/code/QuestCAE/questCAE/sources/registry_item.cpp", "C++", 111, 0, 4, 30, 145
"/home/xie/code/QuestCAE/questCAE/utilities/color_utilities.hpp", "C++", 48, 0, 3, 7, 58
"/home/xie/code/QuestCAE/questCAE/utilities/counter.hpp", "C++", 47, 0, 6, 22, 75
"/home/xie/code/QuestCAE/questCAE/utilities/openmp_utils.hpp", "C++", 75, 0, 6, 18, 99
"/home/xie/code/QuestCAE/questCAE/utilities/parallel_utilities.cpp", "C++", 89, 0, 5, 28, 122
"/home/xie/code/QuestCAE/questCAE/utilities/parallel_utilities.hpp", "C++", 308, 0, 15, 80, 403
"/home/xie/code/QuestCAE/questCAE/utilities/quaternion.hpp", "C++", 293, 0, 16, 74, 383
"/home/xie/code/QuestCAE/questCAE/utilities/stl_vector_io.hpp", "C++", 17, 0, 5, 10, 32
"/home/xie/code/QuestCAE/questCAE/utilities/string_utilities.cpp", "C++", 107, 0, 5, 41, 153
"/home/xie/code/QuestCAE/questCAE/utilities/string_utilities.hpp", "C++", 31, 0, 16, 20, 67
"Total", "-", 8740, 3, 498, 2999, 12240
